candidate,R2_THRESHOLD,TARGET_VOL,VOL_WINDOW,SWITCH_BUFFER,MAX_LEV,segment,start,end,rows,ann_return,ann_vol,sharpe_repo,max_dd,total_return,maxdd_start,maxdd_trough,trades,asset_switches,cash_days,holding_days,holding_day_ratio,avg_weight,max_weight,cost_total,qqq_days,gld_days,buffer_blocked_days
switch_1.48,0.3,0.25,20,1.48,1.5,last_1y,2025-05-15,2026-05-15,252,0.9155889791398872,0.26829382061344825,2.5628957319621644,-0.1902715498912867,0.9155889791398872,2025-05-15,2026-03-30,120,18,36,216,0.8571428571428571,1.0947638142793688,1.5,0.0,120,96,7
switch_1.49,0.3,0.25,20,1.49,1.5,full,2015-07-13,2026-05-15,2728,0.3410950895814213,0.22581839816274502,1.4132903318968457,-0.20406939087643194,22.977309534980304,2015-07-13,2022-05-13,939,258,382,2346,0.8599706744868035,1.1923561527035285,1.5,0.0,1350,996,68
switch_1.49,0.3,0.25,20,1.49,1.5,last_10y,2016-05-09,2026-05-15,2520,0.34768664815658523,0.22713406417957183,1.4280557873215576,-0.20406939087643183,18.764655881663415,2016-05-09,2022-05-13,897,238,343,2177,0.8638888888888889,1.1933882930000104,1.5,0.0,1281,896,61
switch_1.49,0.3,0.25,20,1.49,1.5,last_5y,2021-05-11,2026-05-15,1260,0.4035569292689818,0.24609890620076139,1.501317498025549,-0.20406939087643183,4.4469095444518185,2021-05-11,2022-05-13,525,123,173,1087,0.8626984126984127,1.1684348171476027,1.5,0.0,581,506,26
switch_1.49,0.3,0.25,20,1.49,1.5,last_3y,2023-05-11,2026-05-15,756,0.5384134401615706,0.2538383931217989,1.8251066651198404,-0.19027154989128658,2.6409875694030975,2023-05-11,2026-03-30,291,70,95,661,0.8743386243386243,1.1852814951887656,1.5,0.0,375,286,13
switch_1.49,0.3,0.25,20,1.49,1.5,last_1y,2025-05-15,2026-05-15,252,0.9155889791398877,0.2682938206134482,2.5628957319621706,-0.19027154989128658,0.9155889791398877,2025-05-15,2026-03-30,120,18,36,216,0.8571428571428571,1.0947638142793685,1.5,0.0,120,96,7
switch_1.50,0.3,0.25,20,1.5,1.5,full,2015-07-13,2026-05-15,2728,0.3424850006503861,0.22583039281495815,1.4178198942643059,-0.20406939087643128,23.247695438914423,2015-07-13,2022-05-13,939,258,382,2346,0.8599706744868035,1.1923561527035285,1.5,0.0,1351,995,69
switch_1.50,0.3,0.25,20,1.5,1.5,last_10y,2016-05-09,2026-05-15,2520,0.3491987420571292,0.22714687026398092,1.4329310782682523,-0.20406939087643128,18.987536782404757,2016-05-09,2022-05-13,897,238,343,2177,0.8638888888888889,1.1933882930000106,1.5,0.0,1282,895,62
switch_1.50,0.3,0.25,20,1.5,1.5,last_5y,2021-05-11,2026-05-15,1260,0.40355692926898223,0.24609890620076136,1.5013174980255493,-0.20406939087643128,4.446909544451828,2021-05-11,2022-05-13,525,123,173,1087,0.8626984126984127,1.1684348171476027,1.5,0.0,581,506,26
switch_1.50,0.3,0.25,20,1.5,1.5,last_3y,2023-05-11,2026-05-15,756,0.538413440161571,0.25383839312179896,1.825106665119839,-0.1902715498912867,2.6409875694030998,2023-05-11,2026-03-30,291,70,95,661,0.8743386243386243,1.1852814951887656,1.5,0.0,375,286,13
switch_1.50,0.3,0.25,20,1.5,1.5,last_1y,2025-05-15,2026-05-15,252,0.9155889791398883,0.2682938206134484,2.5628957319621644,-0.1902715498912867,0.9155889791398883,2025-05-15,2026-03-30,120,18,36,216,0.8571428571428571,1.0947638142793685,1.5,0.0,120,96,7
switch_1.60,0.3,0.25,20,1.6,1.5,full,2015-07-13,2026-05-15,2728,0.3429050980563262,0.22587991345046204,1.4189498496767474,-0.20406939087643194,23.32996185860185,2015-07-13,2022-05-13,940,258,382,2346,0.8599706744868035,1.1924598605618275,1.5,0.0,1338,1008,84
switch_1.60,0.3,0.25,20,1.6,1.5,last_10y,2016-05-09,2026-05-15,2520,0.3496557943779941,0.22720013452188792,1.4341457947000906,-0.20406939087643194,19.05534953985224,2016-05-09,2022-05-13,898,238,343,2177,0.8638888888888889,1.1935005608720106,1.5,0.0,1269,908,77
switch_1.60,0.3,0.25,20,1.6,1.5,last_5y,2021-05-11,2026-05-15,1260,0.40376807985356433,0.24617749735985292,1.5015375384523513,-0.20406939087643183,4.451007932658393,2021-05-11,2022-05-13,526,123,173,1087,0.8626984126984127,1.1686593528916027,1.5,0.0,568,519,39
switch_1.60,0.3,0.25,20,1.6,1.5,last_3y,2023-05-11,2026-05-15,756,0.5444062460757861,0.25381153802448597,1.84061992940492,-0.19027154989128692,2.6837033424479904,2023-05-11,2026-03-30,291,70,95,661,0.8743386243386243,1.1855645303417846,1.5,0.0,374,287,14
switch_1.60,0.3,0.25,20,1.6,1.5,last_1y,2025-05-15,2026-05-15,252,0.9155889791398875,0.26829382061344814,2.5628957319621684,-0.19027154989128692,0.9155889791398875,2025-05-15,2026-03-30,120,18,36,216,0.8571428571428571,1.094763814279368,1.5,0.0,120,96,7
switch_1.70,0.3,0.25,20,1.7,1.5,full,2015-07-13,2026-05-15,2728,0.3264912732325791,0.22567778726513926,1.3654684846883955,-0.20406939087643172,20.297262883245935,2015-07-13,2022-05-13,941,258,382,2346,0.8599706744868035,1.1924046622023563,1.5,0.0,1320,1026,100
switch_1.70,0.3,0.25,20,1.7,1.5,last_10y,2016-05-09,2026-05-15,2520,0.34012262853375796,0.22728166195823749,1.4024858606135069,-0.20406939087643172,17.682947997637818,2016-05-09,2022-05-13,897,238,343,2177,0.8638888888888889,1.1935505183706865,1.5,0.0,1254,923,90
