candidate,segment,r2_threshold,switch_buffer,start,end,rows,ann_return,ann_vol,sharpe_repo,max_dd,avg_weight,held_day_avg_weight,holding_days,holding_day_ratio,avg_turnover,turnover_total,cost_total,trade_days,score_min,score_max
r2_0.150,last_5y,0.15,1.0,2021-06-25,2026-09-02,1260,0.4965329033509984,0.25334020393363765,1.7166251475726688,-0.20168476251086997,0.8388888888888889,1.0,1057,0.8388888888888889,0.21587301587301588,272.0,0.272,160,0.5,5.0
r2_0.150,last_3y,0.15,1.0,2023-07-24,2026-09-02,756,0.6386016212252625,0.28101765048772354,1.8962373554980863,-0.15868919725725528,0.8703703703703703,1.0,658,0.8703703703703703,0.24074074074074073,182.0,0.18200000000000002,105,0.5,5.0
r2_0.150,last_1y,0.15,1.0,2025-08-20,2026-09-02,252,0.3961817364196947,0.29985521968505247,1.2632391471124655,-0.15868919725725583,0.8293650793650794,1.0,209,0.8293650793650794,0.30952380952380953,78.0,0.078,45,0.5,5.0
r2_0.175,full,0.175,1.0,2011-12-09,2026-09-02,3578,0.2902566233781181,0.2189117361381876,1.2730957068682067,-0.22029271084280022,0.6897708216880939,1.0,2468,0.6897708216880939,0.1685299049748463,603.0,0.603,393,0.5,5.0
r2_0.175,last_10y,0.175,1.0,2016-04-21,2026-09-02,2520,0.34254847572450653,0.2256156734242871,1.417715877597679,-0.2185588263481345,0.790079365079365,1.0,1991,0.790079365079365,0.2011904761904762,507.0,0.507,315,0.5,5.0
r2_0.175,last_5y,0.175,1.0,2021-06-25,2026-09-02,1260,0.5188839977799458,0.25351999668101227,1.774123510618034,-0.20168476251086964,0.8373015873015873,1.0,1055,0.8373015873015873,0.21746031746031746,274.0,0.274,162,0.5,5.0
r2_0.175,last_3y,0.175,1.0,2023-07-24,2026-09-02,756,0.6923172283520069,0.2815019171650066,2.0082247721621997,-0.1586891972572556,0.8690476190476191,1.0,657,0.8690476190476191,0.24338624338624337,184.0,0.18400000000000002,107,0.5,5.0
r2_0.175,last_1y,0.175,1.0,2025-08-20,2026-09-02,252,0.5506468822661117,0.30096386994923213,1.6087465400514611,-0.15868919725725605,0.8253968253968254,1.0,208,0.8253968253968254,0.31746031746031744,80.0,0.08,47,0.5,5.0
r2_0.200,full,0.2,1.0,2011-12-09,2026-09-02,3578,0.28916038067615113,0.2178733426031284,1.2741945300068973,-0.2251231610909351,0.6880939072107323,1.0,2462,0.6880939072107323,0.16741196198993852,599.0,0.599,391,0.5,5.0
r2_0.200,last_10y,0.2,1.0,2016-04-21,2026-09-02,2520,0.3312699848521514,0.22523413648122081,1.38224460607795,-0.21855882634813306,0.7888888888888889,1.0,1988,0.7888888888888889,0.2003968253968254,505.0,0.505,315,0.5,5.0
r2_0.200,last_5y,0.2,1.0,2021-06-25,2026-09-02,1260,0.5166869870948196,0.2535577308131204,1.7681781729771167,-0.20168476251086953,0.8373015873015873,1.0,1055,0.8373015873015873,0.21428571428571427,270.0,0.27,160,0.5,5.0
r2_0.200,last_3y,0.2,1.0,2023-07-24,2026-09-02,756,0.688239403140761,0.2815624479587968,1.9992659722882815,-0.15868919725725572,0.8690476190476191,1.0,657,0.8690476190476191,0.23809523809523808,180.0,0.18000000000000002,105,0.5,5.0
r2_0.200,last_1y,0.2,1.0,2025-08-20,2026-09-02,252,0.5506468822661124,0.30096386994923213,1.608746540051462,-0.1586891972572556,0.8253968253968254,1.0,208,0.8253968253968254,0.31746031746031744,80.0,0.08,47,0.5,5.0
r2_0.225,full,0.225,1.0,2011-12-09,2026-09-02,3578,0.28458617781103346,0.21594387892452516,1.267237325058179,-0.22512316109093478,0.6836221352711012,1.0,2446,0.6836221352711012,0.16685299049748462,597.0,0.597,393,0.5,5.0
r2_0.225,last_10y,0.225,1.0,2016-04-21,2026-09-02,2520,0.3267816623339792,0.22315547508868191,1.3779716510260354,-0.21855882634813328,0.7853174603174603,1.0,1979,0.7853174603174603,0.19960317460317462,503.0,0.503,317,0.5,5.0
r2_0.225,last_5y,0.225,1.0,2021-06-25,2026-09-02,1260,0.5229350807167261,0.2530851892183998,1.7872791058924038,-0.20168476251087009,0.8325396825396826,1.0,1049,0.8325396825396826,0.2126984126984127,268.0,0.268,162,0.5,5.0
r2_0.225,last_3y,0.225,1.0,2023-07-24,2026-09-02,756,0.6820211993648184,0.28133285311728523,1.9875265383885856,-0.1586891972572554,0.8637566137566137,1.0,653,0.8637566137566137,0.23544973544973544,178.0,0.17800000000000002,105,0.5,5.0
r2_0.225,last_1y,0.225,1.0,2025-08-20,2026-09-02,252,0.5597183207462415,0.30161892702606624,1.6252653728603192,-0.15868919725725505,0.8134920634920635,1.0,205,0.8134920634920635,0.30158730158730157,76.0,0.07600000000000001,46,0.5,5.0
r2_0.250,full,0.25,1.0,2011-12-09,2026-09-02,3578,0.30028206143548664,0.21500325265093667,1.3283759486146958,-0.22006724591954274,0.6774734488541084,1.0,2424,0.6774734488541084,0.16517607602012296,591.0,0.591,388,0.5,5.0
r2_0.250,last_10y,0.25,1.0,2016-04-21,2026-09-02,2520,0.33972005546018047,0.22248270857605135,1.4251329687053522,-0.1741502646232026,0.7805555555555556,1.0,1967,0.7805555555555556,0.198015873015873,499.0,0.499,315,0.5,5.0
r2_0.250,last_5y,0.25,1.0,2021-06-25,2026-09-02,1260,0.5298015409997416,0.25217069225571953,1.8107096343355567,-0.1707205051303593,0.8261904761904761,1.0,1041,0.8261904761904761,0.2111111111111111,266.0,0.266,162,0.5,5.0
r2_0.250,last_3y,0.25,1.0,2023-07-24,2026-09-02,756,0.6750469713351757,0.2805051035196475,1.9777142028637962,-0.15044599600423436,0.8584656084656085,1.0,649,0.8584656084656085,0.23809523809523808,180.0,0.18000000000000002,108,0.5,5.0
r2_0.250,last_1y,0.25,1.0,2025-08-20,2026-09-02,252,0.5985510840115826,0.30028046033984523,1.7132072473414215,-0.1377428361092673,0.8095238095238095,1.0,204,0.8095238095238095,0.30158730158730157,76.0,0.07600000000000001,47,0.5,5.0
r2_0.275,full,0.275,1.0,2011-12-09,2026-09-02,3578,0.29274648625511523,0.21405449578416758,1.3061354222442418,-0.19315865784499486,0.6713247624371157,1.0,2402,0.6713247624371157,0.16573504751257687,593.0,0.593,390,0.5,5.0
r2_0.275,last_10y,0.275,1.0,2016-04-21,2026-09-02,2520,0.3324940844248665,0.22166150792109807,1.4051688817109023,-0.17661064099988666,0.7753968253968254,1.0,1954,0.7753968253968254,0.1988095238095238,501.0,0.501,317,0.5,5.0
r2_0.275,last_5y,0.275,1.0,2021-06-25,2026-09-02,1260,0.5084286010144432,0.25111659804700115,1.7611410834234646,-0.1707205051303593,0.8198412698412698,1.0,1033,0.8198412698412698,0.2111111111111111,266.0,0.266,162,0.5,5.0
r2_0.275,last_3y,0.275,1.0,2023-07-24,2026-09-02,756,0.6495552499600779,0.2792821809248932,1.9301349423145773,-0.15044599600423414,0.8505291005291006,1.0,643,0.8505291005291006,0.23809523809523808,180.0,0.18000000000000002,108,0.5,5.0
r2_0.275,last_1y,0.275,1.0,2025-08-20,2026-09-02,252,0.5051127397407649,0.298002261196863,1.5215713903358565,-0.13774283610926763,0.7976190476190477,1.0,201,0.7976190476190477,0.30952380952380953,78.0,0.07800000000000001,49,0.5,5.0
r2_0.300,full,0.3,1.0,2011-12-09,2026-09-02,3578,0.263920498557618,0.21032392422586163,1.2183927695407077,-0.21152074302256907,0.6671324762437115,1.0,2387,0.6671324762437115,0.1646171045276691,589.0,0.589,390,0.5,5.0
r2_0.300,last_10y,0.3,1.0,2016-04-21,2026-09-02,2520,0.3059754192738915,0.21822679959291716,1.3317819805894147,-0.16598146117202772,0.7718253968253969,1.0,1945,0.7718253968253969,0.19722222222222222,497.0,0.497,317,0.5,5.0
r2_0.300,last_5y,0.3,1.0,2021-06-25,2026-09-02,1260,0.46973785455804773,0.24629137957161237,1.6853514159809642,-0.16475166203747627,0.8142857142857143,1.0,1026,0.8142857142857143,0.2111111111111111,266.0,0.266,164,0.5,5.0
r2_0.300,last_3y,0.3,1.0,2023-07-24,2026-09-02,756,0.5911256947079657,0.27283921224567054,1.8371429391410086,-0.15332088717136583,0.8452380952380952,1.0,639,0.8452380952380952,0.23544973544973544,178.0,0.17800000000000002,108,0.5,5.0
