score_gate_variant,position,days
exempt_159941_SZ+513030_SH+518880_SH,513520.SH,167
exempt_159941_SZ+513520_SH,CASH,740
exempt_159941_SZ+513520_SH,159915.SZ,726
exempt_159941_SZ+513520_SH,159941.SZ,646
exempt_159941_SZ+513520_SH,518880.SH,506
exempt_159941_SZ+513520_SH,513030.SH,366
exempt_159941_SZ+513520_SH,159985.SZ,291
exempt_159941_SZ+513520_SH,513520.SH,226
exempt_159941_SZ+513520_SH+159985_SZ,CASH,731
exempt_159941_SZ+513520_SH+159985_SZ,159915.SZ,723
exempt_159941_SZ+513520_SH+159985_SZ,159941.SZ,642
exempt_159941_SZ+513520_SH+159985_SZ,518880.SH,495
exempt_159941_SZ+513520_SH+159985_SZ,513030.SH,364
exempt_159941_SZ+513520_SH+159985_SZ,159985.SZ,322
exempt_159941_SZ+513520_SH+159985_SZ,513520.SH,224
exempt_159941_SZ+513520_SH+159985_SZ+518880_SH,CASH,730
exempt_159941_SZ+513520_SH+159985_SZ+518880_SH,159915.SZ,723
exempt_159941_SZ+513520_SH+159985_SZ+518880_SH,159941.SZ,642
exempt_159941_SZ+513520_SH+159985_SZ+518880_SH,518880.SH,510
exempt_159941_SZ+513520_SH+159985_SZ+518880_SH,513030.SH,364
exempt_159941_SZ+513520_SH+159985_SZ+518880_SH,159985.SZ,322
exempt_159941_SZ+513520_SH+159985_SZ+518880_SH,513520.SH,210
exempt_159941_SZ+513520_SH+518880_SH,CASH,739
exempt_159941_SZ+513520_SH+518880_SH,159915.SZ,726
exempt_159941_SZ+513520_SH+518880_SH,159941.SZ,646
exempt_159941_SZ+513520_SH+518880_SH,518880.SH,521
exempt_159941_SZ+513520_SH+518880_SH,513030.SH,366
exempt_159941_SZ+513520_SH+518880_SH,159985.SZ,291
exempt_159941_SZ+513520_SH+518880_SH,513520.SH,212
exempt_159941_SZ+518880_SH,CASH,739
exempt_159941_SZ+518880_SH,159915.SZ,726
exempt_159941_SZ+518880_SH,159941.SZ,663
exempt_159941_SZ+518880_SH,518880.SH,523
exempt_159941_SZ+518880_SH,513030.SH,370
exempt_159941_SZ+518880_SH,159985.SZ,291
exempt_159941_SZ+518880_SH,513520.SH,189
exempt_159985_SZ,159915.SZ,738
exempt_159985_SZ,CASH,731
exempt_159985_SZ,159941.SZ,628
exempt_159985_SZ,518880.SH,498
exempt_159985_SZ,513030.SH,377
exempt_159985_SZ,159985.SZ,327
exempt_159985_SZ,513520.SH,202
exempt_159985_SZ+518880_SH,159915.SZ,738
exempt_159985_SZ+518880_SH,CASH,730
exempt_159985_SZ+518880_SH,159941.SZ,626
exempt_159985_SZ+518880_SH,518880.SH,513
exempt_159985_SZ+518880_SH,513030.SH,377
exempt_159985_SZ+518880_SH,159985.SZ,327
exempt_159985_SZ+518880_SH,513520.SH,190
exempt_513030_SH,159915.SZ,741
exempt_513030_SH,CASH,740
exempt_513030_SH,159941.SZ,628
exempt_513030_SH,518880.SH,509
exempt_513030_SH,513030.SH,407
exempt_513030_SH,159985.SZ,294
exempt_513030_SH,513520.SH,182
exempt_513030_SH+159985_SZ,159915.SZ,738
exempt_513030_SH+159985_SZ,CASH,731
exempt_513030_SH+159985_SZ,159941.SZ,624
exempt_513030_SH+159985_SZ,518880.SH,498
exempt_513030_SH+159985_SZ,513030.SH,405
exempt_513030_SH+159985_SZ,159985.SZ,325
exempt_513030_SH+159985_SZ,513520.SH,180
exempt_513030_SH+159985_SZ+518880_SH,159915.SZ,738
exempt_513030_SH+159985_SZ+518880_SH,CASH,730
exempt_513030_SH+159985_SZ+518880_SH,159941.SZ,622
exempt_513030_SH+159985_SZ+518880_SH,518880.SH,513
exempt_513030_SH+159985_SZ+518880_SH,513030.SH,405
exempt_513030_SH+159985_SZ+518880_SH,159985.SZ,325
exempt_513030_SH+159985_SZ+518880_SH,513520.SH,168
exempt_513030_SH+513520_SH,159915.SZ,741
exempt_513030_SH+513520_SH,CASH,740
exempt_513030_SH+513520_SH,159941.SZ,609
exempt_513030_SH+513520_SH,518880.SH,507
exempt_513030_SH+513520_SH,513030.SH,403
exempt_513030_SH+513520_SH,159985.SZ,294
exempt_513030_SH+513520_SH,513520.SH,207
exempt_513030_SH+513520_SH+159985_SZ,159915.SZ,738
exempt_513030_SH+513520_SH+159985_SZ,CASH,731
exempt_513030_SH+513520_SH+159985_SZ,159941.SZ,605
exempt_513030_SH+513520_SH+159985_SZ,518880.SH,496
exempt_513030_SH+513520_SH+159985_SZ,513030.SH,401
exempt_513030_SH+513520_SH+159985_SZ,159985.SZ,325
exempt_513030_SH+513520_SH+159985_SZ,513520.SH,205
exempt_513030_SH+513520_SH+159985_SZ+518880_SH,159915.SZ,738
exempt_513030_SH+513520_SH+159985_SZ+518880_SH,CASH,730
exempt_513030_SH+513520_SH+159985_SZ+518880_SH,159941.SZ,605
exempt_513030_SH+513520_SH+159985_SZ+518880_SH,518880.SH,511
exempt_513030_SH+513520_SH+159985_SZ+518880_SH,513030.SH,401
exempt_513030_SH+513520_SH+159985_SZ+518880_SH,159985.SZ,325
exempt_513030_SH+513520_SH+159985_SZ+518880_SH,513520.SH,191
exempt_513030_SH+513520_SH+518880_SH,159915.SZ,741
exempt_513030_SH+513520_SH+518880_SH,CASH,739
exempt_513030_SH+513520_SH+518880_SH,159941.SZ,609
exempt_513030_SH+513520_SH+518880_SH,518880.SH,522
exempt_513030_SH+513520_SH+518880_SH,513030.SH,403
exempt_513030_SH+513520_SH+518880_SH,159985.SZ,294
exempt_513030_SH+513520_SH+518880_SH,513520.SH,193
exempt_513030_SH+518880_SH,159915.SZ,741
exempt_513030_SH+518880_SH,CASH,739
exempt_513030_SH+518880_SH,159941.SZ,626
exempt_513030_SH+518880_SH,518880.SH,524
exempt_513030_SH+518880_SH,513030.SH,407
exempt_513030_SH+518880_SH,159985.SZ,294
exempt_513030_SH+518880_SH,513520.SH,170
exempt_513520_SH,159915.SZ,741
exempt_513520_SH,CASH,740
exempt_513520_SH,159941.SZ,613
exempt_513520_SH,518880.SH,507
exempt_513520_SH,513030.SH,375
exempt_513520_SH,159985.SZ,296
exempt_513520_SH,513520.SH,229
exempt_513520_SH+159985_SZ,159915.SZ,738
exempt_513520_SH+159985_SZ,CASH,731
exempt_513520_SH+159985_SZ,159941.SZ,609
exempt_513520_SH+159985_SZ,518880.SH,496
exempt_513520_SH+159985_SZ,513030.SH,373
exempt_513520_SH+159985_SZ,159985.SZ,327
exempt_513520_SH+159985_SZ,513520.SH,227
exempt_513520_SH+159985_SZ+518880_SH,159915.SZ,738
exempt_513520_SH+159985_SZ+518880_SH,CASH,730
exempt_513520_SH+159985_SZ+518880_SH,159941.SZ,609
exempt_513520_SH+159985_SZ+518880_SH,518880.SH,511
exempt_513520_SH+159985_SZ+518880_SH,513030.SH,373
exempt_513520_SH+159985_SZ+518880_SH,159985.SZ,327
exempt_513520_SH+159985_SZ+518880_SH,513520.SH,213
