scenario,switch_buffer,position,start,end,trading_days,calendar_days
switch_buffer_1.03,1.03,CASH,2023-02-28,2023-03-06,5,7
switch_buffer_1.03,1.03,518880.SH,2023-03-07,2023-03-08,2,2
switch_buffer_1.03,1.03,513030.SH,2023-03-09,2023-03-09,1,1
switch_buffer_1.03,1.03,513520.SH,2023-03-10,2023-03-13,2,4
switch_buffer_1.03,1.03,518880.SH,2023-03-14,2023-03-29,12,16
switch_buffer_1.03,1.03,159941.SZ,2023-03-30,2023-04-11,8,13
switch_buffer_1.03,1.03,513030.SH,2023-04-12,2023-05-05,15,24
switch_buffer_1.03,1.03,513520.SH,2023-05-08,2023-05-18,9,11
switch_buffer_1.03,1.03,159941.SZ,2023-05-19,2023-05-24,4,6
switch_buffer_1.03,1.03,513520.SH,2023-05-25,2023-05-26,2,2
switch_buffer_1.03,1.03,159941.SZ,2023-05-29,2023-06-20,17,23
switch_buffer_1.03,1.03,159985.SZ,2023-06-21,2023-07-03,7,13
switch_buffer_1.03,1.03,159941.SZ,2023-07-04,2023-07-07,4,4
switch_buffer_1.03,1.03,159985.SZ,2023-07-10,2023-09-11,46,64
switch_buffer_1.03,1.03,159941.SZ,2023-09-12,2023-09-15,4,4
switch_buffer_1.03,1.03,513520.SH,2023-09-18,2023-09-19,2,2
switch_buffer_1.03,1.03,518880.SH,2023-09-20,2023-09-27,6,8
switch_buffer_1.03,1.03,CASH,2023-09-28,2023-10-26,15,29
switch_buffer_1.03,1.03,518880.SH,2023-10-27,2023-11-03,6,8
switch_buffer_1.03,1.03,159985.SZ,2023-11-06,2023-11-14,7,9
switch_buffer_1.03,1.03,159941.SZ,2023-11-15,2023-11-22,6,8
switch_buffer_1.03,1.03,513030.SH,2023-11-23,2023-12-19,19,27
switch_buffer_1.03,1.03,513520.SH,2023-12-20,2024-01-19,22,31
switch_buffer_1.03,1.03,159941.SZ,2024-01-22,2024-01-25,4,4
switch_buffer_1.03,1.03,513520.SH,2024-01-26,2024-01-30,3,5
switch_buffer_1.03,1.03,159941.SZ,2024-01-31,2024-02-23,12,24
switch_buffer_1.03,1.03,159915.SZ,2024-02-26,2024-03-18,16,22
switch_buffer_1.03,1.03,159985.SZ,2024-03-19,2024-03-28,8,10
switch_buffer_1.03,1.03,518880.SH,2024-03-29,2024-04-26,19,29
switch_buffer_1.03,1.03,159985.SZ,2024-04-29,2024-05-22,15,24
switch_buffer_1.03,1.03,159941.SZ,2024-05-23,2024-07-03,29,42
switch_buffer_1.03,1.03,513520.SH,2024-07-04,2024-07-09,4,6
switch_buffer_1.03,1.03,159941.SZ,2024-07-10,2024-07-15,4,6
