scenario,decay_trigger,recovery_trigger,window,start,end,rows,total_return,annual_return,max_drawdown,vol,sharpe,trades,cash_days,overheat_days,score_decay_days,score_decay_triggers,score_decay_recoveries,avg_scale,avg_final_exposure
decay_0.50_recover_0.70,0.5,0.7,1Y,2025-05-08,2026-05-08,243,-0.006979034965020836,-0.006983798395135299,-0.006979034965020836,0.0026552108758064346,-2.733967130597302,40,54,17,43,7,7,1.0308641975308641,0.661522633744856
decay_0.50_recover_0.80,0.5,0.8,from_2020,2020-01-02,2026-05-08,1535,2.293229126711319,0.2065971694656863,-0.20649063542261703,0.22660105662673927,0.9979761174642463,300,302,52,207,42,42,1.1444776062548483,0.8059930533713545
decay_0.50_recover_0.80,0.5,0.8,6Y,2020-05-08,2026-05-08,1454,2.107585402835062,0.20806204861395172,-0.20649063542261692,0.2191130779216833,1.0061730599044993,283,290,49,202,40,40,1.1531918881857917,0.8099096839405516
decay_0.50_recover_0.80,0.5,0.8,3Y,2023-05-08,2026-05-08,727,0.6326858176949408,0.1774740706598772,-0.20501221619800514,0.20651623515342024,0.9231162494672758,133,168,33,123,18,19,1.061396611607889,0.6966829276161631
decay_0.50_recover_0.80,0.5,0.8,1Y,2025-05-08,2026-05-08,243,-0.006979034965020947,-0.00698379839513541,-0.006979034965020947,0.0026552108758064346,-2.733967130597302,40,55,17,44,7,7,1.0308641975308641,0.6574074074074074
decay_0.50_recover_0.90,0.5,0.9,from_2020,2020-01-02,2026-05-08,1535,2.2701982596005563,0.2052636161848389,-0.20649063542261759,0.2266173318618643,0.9928301203614748,300,303,52,208,42,42,1.144549279606392,0.8051532762750434
decay_0.50_recover_0.90,0.5,0.9,6Y,2020-05-08,2026-05-08,1454,2.085852816460329,0.20664952912378998,-0.20649063542261747,0.2191307214130361,1.0005520179275191,283,291,49,203,40,40,1.1532675543444018,0.8090231242137035
decay_0.50_recover_0.90,0.5,0.9,3Y,2023-05-08,2026-05-08,727,0.6212677934232826,0.17472342503196026,-0.20506827353208357,0.20655225301619332,0.9112004761261062,133,169,33,124,18,19,1.0615479439251105,0.694909808162467
decay_0.50_recover_0.90,0.5,0.9,1Y,2025-05-08,2026-05-08,243,-0.006979034965021058,-0.006983798395135521,-0.006979034965021058,0.0026552108758064346,-2.733967130597302,40,55,17,44,7,7,1.0308641975308641,0.6574074074074074
decay_0.50_recover_1.00,0.5,1.0,from_2020,2020-01-02,2026-05-08,1535,2.333019287460188,0.20888273296807092,-0.2064906354226167,0.226651596742007,1.0064981628428478,300,305,52,210,42,42,1.1449496020780725,0.803841811372828
decay_0.50_recover_1.00,0.5,1.0,6Y,2020-05-08,2026-05-08,1454,2.1451325390840132,0.21048316190984062,-0.2064906354226166,0.21916846909923265,1.0154656942219458,283,293,49,205,40,40,1.1536901781367195,0.807638599712396
decay_0.50_recover_1.00,0.5,1.0,3Y,2023-05-08,2026-05-08,727,0.6524126051849382,0.18219626247011944,-0.20534903228349266,0.20663606929015338,0.942832798813471,133,171,33,126,18,19,1.0623931915097464,0.6921407591598532
